TestId,Date,Time,Name,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Braking Phase,Propulsive Phase,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Impulse Ratio,Peak Braking Velocity,Takeoff Velocity,Peak Velocity,Avg. Relative Braking Power,Peak Relative Braking Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Avg. Braking Force,L|R Avg. Propulsive Force,L|R Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Peak Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,L|R Avg. Landing Force,L|R Landing Impulse Index,mRSI
2V5liSK51JVnKnXttc6b,8/8/23,18:27:09,BC0027,,Setter,Countermovement Jump,,POST PRACTICE,720.324,10.7755909,170.1475,-14.05118155,6688.3117,-4911.4112,1753,243.3627,179.1283,1750,242.9462,0.293,0.154,0.299,0.746,112.9066,171.2826,1.517,-1.5437,2.3172,2.4206,-17.258,-24.4375,22.9574,41.3761,3038.15,-7.443,0.3212,10.4854,-13.9262,0.6345,4274,593.3441,4.0243,31.7983,N/A,0.3669
LSSETF860PTuDKOBJslO,8/8/23,18:26:58,BC0027,,Setter,Countermovement Jump,,POST PRACTICE,719.802,11.01181138,171.8867,-13.15748074,8057.1429,-5543.8231,1853,257.4319,179.2464,1852,257.293,0.29,0.14,0.301,0.731,114.5237,172.6081,1.5072,-1.5612,2.3426,2.4906,-18.2361,-26.2136,23.9146,42.8746,3145.90,-3.2969,-1.9173,11.5248,-6.4555,-3.7491,4185,581.4099,1.5054,-19.9326,-33.2249,0.3826
iUBCJOQ8RzyMsX0cAHqN,8/8/23,18:26:48,BC0027,,Setter,Countermovement Jump,,POST PRACTICE,720.493,10.96063027,171.6383,-12.78346498,8041.3793,-5813.7267,1888,262.0428,187.0212,1887,261.904,0.26,0.145,0.274,0.679,112.619,172.7199,1.5337,-1.5387,2.337,2.4534,-17.9515,-25.6883,24.4608,42.7893,3142.65,-1.2289,-2.2448,7.7187,-2.4735,-4.3555,3761,522.0037,-14.8099,-13.5079,-23.8002,0.41
7lPNrb8tW1qQhXDqwAMS,8/8/23,9:42:08,BC0027,,Setter,Countermovement Jump,,Pre-Training,716.763,11.72047282,176.5804,-12.92126026,7139.0728,-5450.2205,1789,249.5944,183.4642,1789,249.5944,0.26,0.151,0.296,0.707,113.5683,177.9577,1.567,-1.5639,2.4168,2.5243,-17.5878,-24.3527,24.4154,44.2581,3233.70,0.2905,1.4708,0.9276,0.5777,2.9127,3655,509.9315,2.1614,-24.77,N/A,0.4211
ab4XA9OtgVXKWKphX40O,8/8/23,9:41:59,BC0027,,Setter,Countermovement Jump,,Pre-Training,717.448,11.01574838,171.3418,-12.54330749,6756.7568,-5368.018,1710,238.3448,181.505,1710,238.3448,0.28,0.148,0.294,0.722,106.4752,172.7573,1.6225,-1.466,2.3428,2.4713,-16.1165,-22.7719,23.3888,43.5472,3184.80,-3.9148,-3.5612,11.6,-7.6011,-6.8542,3649,508.6083,-9.1258,-2.1373,-4.188,0.3875
iCXgh4AxZFlglKUzX81u,8/8/23,9:41:48,BC0027,,Setter,Countermovement Jump,,Pre-Training,717.095,11.69291376,176.4593,-12.44094528,7569.4444,-5720.9709,1808,252.1284,187.1632,1808,252.1284,0.27,0.144,0.283,0.697,111.7903,177.7801,1.5903,-1.5379,2.414,2.5402,-17.5773,-24.3977,25.0385,44.9182,3283.45,-3.6419,-2.5546,7.7064,-7.0789,-4.9585,2917,406.7801,-54.8852,-6.0412,-11.4084,0.4261
7Jas2Oh2otrCCayZhsBW,8/9/23,18:24:21,BC0027,,Setter,Countermovement Jump,,POST PRACTICE,713.811,11.64566966,175.2977,-12.75984293,7189.1892,-5488.4304,1779,249.2256,184.5883,1779,249.2256,0.297,0.148,0.291,0.736,104.309,176.5775,1.6928,-1.4418,2.4091,2.5189,-16.0957,-22.08,24.6767,43.3933,3157.45,1.2214,1.1577,8.4586,2.3776,2.3105,3715,520.4459,0.5653,25.362,N/A,0.4019
NzMSEbnMF4ybWgiyOaYN,8/9/23,18:24:10,BC0027,,Setter,Countermovement Jump,,POST PRACTICE,715.803,11.54330746,175.0187,-12.43700827,6587.0968,-5510.9914,1741,243.2233,185.4267,1739,242.9439,0.276,0.155,0.286,0.717,103.4085,175.7348,1.6994,-1.4177,2.3986,2.501,-15.3845,-20.8059,24.3847,43.891,3202.58,-7.3094,-0.6193,19.6866,-13.7346,-1.2239,3696,516.3432,2.2727,21.9032,35.9354,0.409
1MHjBHzokqu3ctb9dCB1,8/9/23,18:23:55,BC0027,,Setter,Countermovement Jump,,POST PRACTICE,715.248,11.57874053,175.1531,-11.50787438,7963.7681,-6201.8511,1813,253.4785,192.2321,1810,253.0591,0.282,0.138,0.266,0.686,102.3103,176.3695,1.7239,-1.4105,2.4023,2.5078,-15.8473,-21.9177,25.3869,44.7846,3265.25,-3.6687,-0.4629,-2.4568,-7.0832,-0.9315,3279,458.4424,5.093,21.6167,35.5553,0.4288
kEZ7wWP0QUwogovZJHkP,8/9/23,9:39:55,BC0027,,Setter,Countermovement Jump,,Pre-Training,727.122,10.68897672,171.0812,-13.3858272,6275,-5088.2672,1730,237.9243,176.3267,1728,237.6493,0.295,0.16,0.308,0.763,109.6955,171.7869,1.566,-1.4801,2.3081,2.4557,-15.9863,-23.11,22.8787,41.7904,3097.53,-2.7823,-3.1943,4.1833,-5.4425,-6.1806,3327,457.5573,-14.2771,-25.499,N/A,0.3559
