Name,Session ID,Types,Description,Session begin date (UTC),Duration (hh:mm:ss),Time (hh:mm:ss),Position,Acceleration Load (load | high),Acceleration Load (load | low),Acceleration Load (load | medium),Acceleration Load (load | very high),Acceleration Load (max.),Acceleration Load (time | high) (hh:mm:ss),Acceleration Load (time | low) (hh:mm:ss),Acceleration Load (time | medium) (hh:mm:ss),Acceleration Load (time | very high) (hh:mm:ss),Acceleration Load / min,Anaerobic Activity (time) (hh:mm:ss),High Intensity Effort/Min,Jump Load (J),Jump Load / min (J),Jump Load per mass (J/kg),Jump Load per mass / min (J/kg),Total Workload,Changes of Orientation,Changes of Orientation / min,Exertions,Exertions (high),Exertions (low),Exertions (medium),Exertions (very high),Exertions / min,Exertions / min (high),Exertions / min (low),Exertions / min (medium),Exertions / min (very high),Jumps,Jumps (high),Jumps (low),Jumps (medium),Jumps (very high),Jumps (very low),Jumps / min,Jumps / min (high),Jumps / min (low),Jumps / min (medium),Jumps / min (very high),Jumps / min (very low),Jump Height,mRSI
BC0027,2,Practice,Preseason Morning Practice 7,08/15/2023,9748,6321,Setter,11.45,440.9,106.58,0,4.85,43,5785,497,0,0.88,19,5.31,39567.79,375.59,1199.52,11.39,558.93,10,0.09,20,0,2,18,0,0.19,0,0.02,0.17,0,200,17,138,34,0,11,1.9,0.16,1.31,0.32,0,0.1,,
BC0027,88,Practice,Preseason Afternoon Practice 6,08/15/2023,6939,6924,Setter,4.59,392.16,73.44,0,4.71,24,6541,357,0,0.68,7,4.07,29332.16,254.18,889.22,7.71,470.19,0,0,6,0,1,5,0,0.05,0,0.01,0.04,0,152,1,109,38,0,4,1.32,0.01,0.94,0.33,0,0.03,,
BC0027,107,Practice,Preseason Morning Practice 8,08/16/2023,7803,6336,Setter,17.22,452.55,97.42,0.11,5.21,75,5810,452,1,0.9,38,5.37,51012.27,483.07,1546.47,14.64,567.3,21,0.2,44,0,10,34,0,0.42,0,0.09,0.32,0,227,63,119,36,0,9,2.15,0.6,1.13,0.34,0,0.09,,
BC0027,143,Practice,Preseason Afternoon Practice 7,08/16/2023,4013,3983,Setter,4.8,203.39,21.32,0,4.48,31,3841,110,0,0.58,10,3.46,15685.43,236.29,475.51,7.16,229.5,0,0,4,0,0,4,0,0.06,0,0,0.06,0,73,0,23,48,0,2,1.1,0,0.35,0.72,0,0.03,,
BC0027,158,Practice,Preseason Morning Practice 9,08/17/2023,7256,6106,Setter,17.54,401.21,97.49,0,4.85,84,5576,444,0,0.85,39,5.07,44039.31,432.75,1335.08,13.12,516.24,11,0.11,41,0,11,30,0,0.4,0,0.11,0.29,0,209,18,103,74,0,14,2.05,0.18,1.01,0.73,0,0.14,,
BC0027,159,Practice,Day Before Scrimmage,08/18/2023,6011,5918,Setter,10.18,358.01,92.09,0.23,5.52,42,5450,423,1,0.78,21,4.67,30945.46,313.72,938.13,9.51,460.51,11,0.11,25,2,3,20,0,0.25,0.02,0.03,0.2,0,156,18,105,21,0,12,1.58,0.18,1.06,0.21,0,0.12,,
BC0027,160,Scrimmage,Maroon vs. Gold,08/19/2023,8799,4259,Setter,9.07,252.63,70.39,0.66,6.02,33,3900,322,1,0.78,16,4.69,24153.03,340.26,732.21,10.32,332.75,1,0.01,12,1,2,9,0,0.17,0.01,0.03,0.13,0,129,3,82,31,0,13,1.82,0.04,1.16,0.44,0,0.18,,
BC0027,161,Practice,Monday (8/21),08/21/2023,7917,7623,Setter,8.96,425.47,82.07,0.05,5.13,42,7189,390,0,0.68,18,4.07,33929.61,267.05,1028.6,8.1,516.55,7,0.06,25,0,4,21,0,0.2,0,0.03,0.17,0,161,19,99,39,0,4,1.27,0.15,0.78,0.31,0,0.03,,
BC0027,162,Practice,Tuesday (8/22),08/22/2023,7752,6127,Setter,10.05,392.38,77.8,0,4.79,47,5730,370,0,0.78,21,4.7,32725.84,320.47,992.1,9.72,480.23,3,0.03,24,0,5,19,0,0.24,0,0.05,0.19,0,154,24,93,31,0,6,1.51,0.24,0.91,0.3,0,0.06,,
BC0027,168,Practice,Tuesday (8/29),08/29/2023,8575,6804,Setter,5.41,433.27,91.3,0,4.73,24,6339,440,0,0.78,7,4.67,27410.67,241.72,830.97,7.33,529.98,5,0.04,6,0,2,4,0,0.05,0,0.02,0.04,0,147,4,114,20,0,9,1.3,0.04,1.01,0.18,0,0.08,,
