Name,Session ID,Session begin date (UTC),Time (hh:mm:ss),Position,Jumps,Total Workload,High Intensity Effort/Min,Jump Load / min (J),Jumps (very low),Jumps (low),Jumps (medium),Jumps (high),Jumps (very high),Jumps / min,Acceleration Load (load | medium),Acceleration Load (load | high),Acceleration Load (load | low),Acceleration Load (load | very high),Acceleration Load (max.),Acceleration Load (time | high) (hh:mm:ss),Acceleration Load (time | low) (hh:mm:ss),Acceleration Load (time | medium) (hh:mm:ss),Acceleration Load (time | very high) (hh:mm:ss),Acceleration Load / min,Anaerobic Activity (time) (hh:mm:ss),Jump Load (J),Jump Load per mass (J/kg),Jump Load per mass / min (J/kg),Changes of Orientation,Changes of Orientation / min,Exertions,Exertions (high),Exertions (low),Exertions (medium),Exertions (very high),Exertions / min,Exertions / min (high),Exertions / min (low),Exertions / min (medium),Exertions / min (very high),Jumps / min (high),Jumps / min (low),Jumps / min (medium),Jumps / min (very high),Jumps / min (very low),Duration (hh:mm:ss)
Jaden Ravnsborg,108,01/10/2023,00:56:00,Libero,38,182.14,3.25,109.69,3,32,3,0,0,0.68,58.57,32.69,90.48,0.3,11.74,00:02:13,00:47:29,00:06:17,00:00:01,0.54,00:00:01,6143.27,201.72,3.6,0,0.0,2,0,0,0,2,0.04,0.0,0.0,0.0,0.04,0.0,0.57,0.05,0.0,0.05,
Marta Levinska,108,01/10/2023,00:56:44,Outside Hitter,56,202.72,3.57,304.88,1,5,50,0,0,0.99,59.0,40.8,89.28,13.64,5.28,00:02:24,00:47:33,00:06:01,00:00:43,0.6,00:00:43,17302.19,475.81,8.38,6,0.11,44,0,0,0,44,0.78,0.0,0.0,0.0,0.78,0.0,0.09,0.88,0.0,0.02,
Shannon Shields,108,01/10/2023,00:56:44,Setter,66,245.92,4.33,273.67,5,29,32,0,0,1.16,90.64,48.98,103.38,2.92,4.58,00:03:09,00:43:25,00:09:56,00:00:11,0.72,00:00:10,15530.7,427.09,7.53,1,0.02,15,0,0,0,15,0.26,0.0,0.0,0.0,0.26,0.0,0.51,0.56,0.0,0.09,
Olivia Johnson,108,01/10/2023,00:55:02,Middle Blocker,19,200.64,3.64,69.15,3,5,11,0,0,0.35,75.14,32.23,91.53,1.67,5.68,00:02:21,00:44:32,00:08:07,00:00:13,0.6,00:00:13,3806.79,123.16,2.24,1,0.02,4,0,0,0,4,0.07,0.0,0.0,0.0,0.07,0.0,0.09,0.2,0.0,0.05,
Geli Cyr,108,01/10/2023,00:56:32,Outside Hitter,55,195.16,3.45,261.64,4,9,42,0,0,0.97,65.6,31.57,95.77,2.22,4.9,00:02:13,00:47:21,00:06:48,00:00:09,0.57,00:00:08,14792.38,439.77,7.78,0,0.0,9,0,0,0,9,0.16,0.0,0.0,0.0,0.16,0.0,0.16,0.74,0.0,0.07,
Roberta Rabelo,108,01/10/2023,00:56:44,Outside Hitter,51,219.32,3.86,265.71,2,7,42,0,0,0.9,68.15,51.12,92.71,7.34,5.09,00:03:08,00:45:54,00:07:14,00:00:24,0.64,00:00:23,15079.19,430.83,7.59,1,0.02,23,0,0,0,23,0.41,0.0,0.0,0.0,0.41,0.0,0.12,0.74,0.0,0.04,
Claire Jeter,108,01/10/2023,00:51:41,Middle Blocker,58,214.66,4.15,406.14,3,7,48,0,0,1.12,64.24,37.93,93.12,15.86,6.79,00:01:56,00:41:55,00:06:47,00:00:48,0.69,00:01:04,20993.5,452.8,8.76,1,0.02,53,0,0,0,53,1.03,0.0,0.0,0.0,1.03,0.0,0.14,0.93,0.0,0.06,
Meadow Cooper,108,01/10/2023,00:56:44,Libero,43,229.38,4.04,144.73,3,5,35,0,0,0.76,72.88,57.39,89.77,9.34,5.31,00:03:33,00:45:16,00:07:23,00:00:29,0.67,00:00:28,8213.38,306.26,5.4,3,0.05,32,0,0,0,32,0.56,0.0,0.0,0.0,0.56,0.0,0.09,0.62,0.0,0.05,
Maddie Mclaughlin,108,01/10/2023,00:49:57,Outside Hitter,53,207.71,4.16,316.08,2,3,48,0,0,1.06,80.32,32.96,89.09,5.14,6.85,00:02:07,00:39:42,00:08:21,00:00:19,0.69,00:00:20,15788.76,439.69,8.8,2,0.04,21,0,0,0,21,0.42,0.0,0.0,0.0,0.42,0.0,0.06,0.96,0.0,0.04,
Jaden Ravnsborg,109,01/11/2023,01:06:56,Libero,39,264.69,3.95,96.08,3,33,3,0,0,0.58,89.59,43.27,131.46,0.24,6.3,00:02:58,00:54:19,00:10:02,00:00:01,0.65,00:00:01,6431.5,211.18,3.15,0,0.0,2,0,0,0,2,0.03,0.0,0.0,0.0,0.03,0.0,0.49,0.04,0.0,0.04,
